brandnm,goodsnm,USER,reg_date,order_date,p_type,sub_type,app_yn
Saint Laurent,monogram mini universal bag black,a1143715,2021-01-18,2021-01-21,4days,BA,
Molliolli,pocket color block pattern fur-outer,a1140981,2021-01-03,2021-01-21,7days,O,Y
Fendi,chain strap tote bag multi,a18567,2018-09-12,2021-01-21,7days,BA,Y
JDC Lucky Chouette,button basic pattern jacket,a14083,2018-04-05,2021-01-21,7days,O,Y
Jacquemus,ribbon pointed rib sweater white,a1143917,2021-01-20,2021-01-20,4days,T,Y
Saint Laurent,classic tote bag black,a11803,2017-07-02,2021-01-20,4days,BA,Y
Marni,bucket shoulder bag beige,a1123232,2020-10-08,2021-01-20,4days,BA,Y
Prada,button basic pattern coat black,a1143909,2021-01-20,2021-01-20,4days,O,
DKNY,basic pattern H-Line dress black,a1136362,2020-12-10,2021-01-20,4days,D,Y
Tory Burch,geometric pattern H-Line dress black,a1136362,2020-12-10,2021-01-20,4days,D,Y
Gucci,marmont GG logo quilted bag black,a1142902,2021-01-14,2021-01-20,4days,BA,Y
Prada,striped strap cross bag,a1131731,2020-11-19,2021-01-20,7days,BA,Y
Louis Vuitton,boite chapeau souple cross bag,a185643,2020-03-01,2021-01-20,7days,BA,Y
Saint Laurent,mini sunset chain bag black,a1129195,2020-11-07,2021-01-20,4days,BA,Y
Dolce & Gabbana,slit basic pattern H-Line dress olive,a1138719,2020-12-20,2021-01-20,4days,D,
Burberry,belt long trench coat black,a115879,2019-02-15,2021-01-20,7days,O,Y
Gucci,marmont gg logo quilted bag Black 2,a149897,2019-10-22,2021-01-20,7days,BA,Y
Gucci,vintage web round cross bag black,a1138582,2020-12-20,2021-01-20,4days,BA,Y
Jigott,button check pattern H-Line dress grey,a165117,2019-12-13,2021-01-20,7days,D,Y
Thom Browne,pocket basic pattern blazer navy,a133972,2019-07-17,2021-01-20,4days,O,Y
Polo Ralph Lauren,button check pattern A-Line dress,a1143195,2021-01-15,2021-01-20,4days,D,Y
Burberry London,double button two tone trench coat,a1142294,2021-01-11,2021-01-20,7days,O,Y
Gucci,dionysus cross bag beige,a1143698,2021-01-18,2021-01-20,4days,BA,Y
Celine,button basic pattern doublebreasted-coat black,a1141474,2021-01-07,2021-01-20,7days,O,Y
Dolce & Gabbana,peter pan collar coat black,a1142720,2021-01-13,2021-01-20,7days,O,Y
Saint Laurent,chevron clutch black,a1135815,2020-12-08,2021-01-20,7days,BA,Y
Gucci,dionysus shoulder bag beige,a1140850,2021-01-02,2021-01-20,7days,BA,Y
Saint Laurent,chevron quilted cross bag black,a146902,2019-10-13,2021-01-20,4days,BA,Y
Prada,pocket basic pattern padding-outer orange,a112000,2018-11-24,2021-01-19,4days,O,Y
,long sleeve rib t-shirt & check pattern square neck dress,a1134915,2020-12-03,2021-01-19,7days,TP,
Chanel,classic logo chain shoulder bag white,a186888,2020-03-07,2021-01-19,4days,BA,Y
Dolce & Gabbana,classic two way bag beige,a1121911,2020-09-30,2021-01-19,4days,BA,Y
Thom Browne,button stripe pattern wool cardigan black,a1142421,2021-01-12,2021-01-19,7days,O,Y
Saint Laurent,mini sunset chain bag black,a1140645,2020-12-31,2021-01-19,7days,BA,Y
Isabel Marant,button basic pattern blouse ivory,a1143300,2021-01-15,2021-01-19,4days,T,Y
Yves Saint Laurent,pocket check pattern sweater blue,a1143300,2021-01-15,2021-01-19,4days,T,Y
Imvely,wide collar detail coat cream,a1142800,2021-01-13,2021-01-19,4days,O,Y
Gucci,mammont chain wallet bag black,a1140550,2020-12-30,2021-01-19,4days,BA,Y
Gucci,super mini sylvie white,a1140407,2020-12-29,2021-01-19,7days,BA,Y
Saint Laurent,chevron quilted cross bag black,a1136719,2020-12-12,2021-01-19,4days,BA,Y
Gucci,mixed pattern knit top multi,a1133796,2020-11-28,2021-01-19,4days,T,Y
Gucci,basic pattern turtle neck sweater white,a1133796,2020-11-28,2021-01-19,4days,T,Y
,cutout neck knit & color pleats belt skirt,a1141257,2021-01-05,2021-01-19,4days,TP,Y
El estilo de Claire,X strap shirring dress black,a114327,2019-01-16,2021-01-19,4days,D,Y
Maison Kitsune,embroidery animal print pattern wool sweat-shirts green,a183957,2020-02-21,2021-01-19,7days,T,Y
Louis Vuitton,monogram clutch brown,a1138863,2020-12-21,2021-01-18,7days,BA,Y
Gucci,sylvie mini chain ribbon bag red,a1133939,2020-11-28,2021-01-18,4days,BA,Y
Michaa,slit basic pattern H-Line dress black,a1112419,2020-08-15,2021-01-18,4days,D,Y
Gucci,ophidia small black,a1139870,2020-12-25,2021-01-18,4days,BA,Y
Prada,quilted chain shoulder bag black,a152462,2019-10-30,2021-01-18,4days,BA,Y
DELLEST,trunkino small bag green 1,a1141029,2021-01-04,2021-01-18,4days,BA,Y
Lanvin,banding point jumper skyblue,a1142855,,2021-01-18,7days,O,
Chloe,marcie cross bag brown,a1143692,2021-01-18,2021-01-18,4days,BA,
Gucci,GG clutch chain bag,a1143683,2021-01-18,2021-01-18,4days,BA,Y
Maison Margiela,basic pattern turtle neck top orange,a197498,2020-04-20,2021-01-18,4days,T,Y
Vivienne Westwood,basic pattern wool sweater red,a197498,2020-04-20,2021-01-18,4days,T,Y
Chloe,daria tote bag brown,a11612,2017-06-24,2021-01-18,7days,BA,Y
Vivienne Westwood,basic pattern t-shirts lavender,a1142677,2021-01-13,2021-01-18,4days,T,Y
Greedilous,graphics pattern t-shirts yellow,a1142677,2021-01-13,2021-01-18,4days,T,Y
System homme,pocket stripe pattern shirts pink,a1142677,2021-01-13,2021-01-18,4days,T,Y
Covernat,button check pattern shirts mustard,a1142677,2021-01-13,2021-01-18,4days,T,Y
Musinsa standard,button basic pattern shirts deeppink,a1142677,2021-01-13,2021-01-18,4days,T,Y
Musinsa standard,button basic pattern polo-shirts beige,a1142677,2021-01-13,2021-01-18,4days,T,Y
Lafudge Store,pocket basic pattern top beige,a1142677,2021-01-13,2021-01-18,4days,T,Y
Calvin Klein,pocket basic pattern wool slacks grey,a1142677,2021-01-13,2021-01-18,4days,B,Y
Massimo Dutti,pocket basic pattern shirts mint,a1142677,2021-01-13,2021-01-18,4days,T,Y
Saint Laurent,chevron quilted cross bag black,a1142742,2021-01-13,2021-01-18,7days,BA,Y
Burberry,pocket Quilting pattern padding-outer khaki,a128773,2019-06-11,2021-01-17,4days,O,Y
,El estilo de Claire - neoprene botanical print top_pleats fake leather skirt ash,a1107090,2020-07-03,2021-01-17,4days,TP,Y
Gucci,sylvie leather mini chain bag black,a1138389,2020-12-19,2021-01-17,7days,BA,Y
Reneevon,formal mood trimming dress multi,a1136274,2020-12-10,2021-01-17,7days,D,Y
Inusway,ruffle detail blouse skyblue,a1141277,2021-01-05,2021-01-17,4days,T,Y
Prada,check pattern lined vest,a160435,2019-12-03,2021-01-17,4days,T,Y
,frill detail knit & dot pattern skirt,a171081,2020-01-06,2021-01-17,7days,TP,Y
Thom Browne,button stripe pattern cashmere sweater grey,a1136372,2020-12-10,2021-01-16,4days,T,Y
Louis Vuitton,strap basic pattern coat black,a1137705,2020-12-18,2021-01-16,7days,O,Y
Time,basic pattern H-Line dress black,a1139715,2020-12-24,2021-01-16,4days,D,
Prada,high neck robe jumper gray,a1112637,2020-08-16,2021-02-28,7days,O,Y
Louis Vuitton,unbalance detail zip-up jumper,a1112637,2020-08-16,2021-02-28,7days,O,Y
El estilo de Claire,see-through lace dress black,a1147589,2021-02-25,2021-02-28,7days,D,Y
Banana Republic,pocket basic pattern cardigan khaki,a1147589,2021-02-25,2021-02-28,7days,O,Y
Audrey Tailor,pocket basic pattern slacks navy,a1147589,2021-02-25,2021-02-28,7days,B,Y
Vanessa Bruno Athe,basic pattern A-Line dress grey,a1147580,2021-02-25,2021-02-28,4days,D,Y
Yves Saint Laurent,kate small monogram bag beige,a1147812,2021-02-28,2021-02-28,7days,BA,Y
Max Mara,shawl collar fur detail coat gray,a1147461,2021-02-24,2021-02-28,4days,O,Y
Vivienne Westwood Red Label,logo point crop sweater wine,a1116109,2020-08-23,2021-02-28,7days,T,
Chanel,quilted shoulder bag black,a1147781,2021-02-28,2021-02-28,7days,BA,Y
Gucci,vintage web shoulder bag black,a1147714,2021-02-27,2021-02-27,7days,BA,Y
Louis Vuitton,epi tote bag black,a131784,2019-06-26,2021-02-27,7days,BA,Y
A BY A,gather color block pattern A-Line dress navy,a1146538,2021-02-16,2021-02-26,4days,D,Y
Chanel,boy flab bag,a178999,2020-02-01,2021-02-26,7days,BA,Y
Reneevon,lace flower pattern A-Line dress pink,a1147643,2021-02-26,2021-02-26,4days,D,Y
Thom Browne,pocket basic pattern blazer navy,a1147623,2021-02-26,2021-02-26,4days,O,Y
Isabel Marant Etoile,belt basic pattern trench-coat beige,a185282,2020-02-28,2021-02-26,4days,O,Y
Burberry,printing lettering pattern singlebreasted-coat beige,a1147635,2021-02-26,2021-02-26,4days,O,Y
Burberry,vintage check lettering bag,a1147629,2021-02-26,2021-02-26,4days,BA,Y
Saint Laurent,chevron quilted cross bag black,a1147498,2021-02-25,2021-02-26,4days,BA,Y
Celine,drop shoulder boxy coat,a187226,2020-03-08,2021-02-26,7days,O,Y
Chanel,small logo quilted cross body bag black,a1147619,2021-02-26,2021-02-26,7days,BA,Y
Louis Vuitton,epi tote bag black,a1147266,2021-02-23,2021-02-26,7days,BA,Y
Akro,strap basic pattern trench-coat beige,a174601,2020-01-17,2021-02-26,4days,O,Y
Baum Und Pferdgarten,ruffle basic pattern A-Line dress pink,a1146865,2021-02-18,2021-02-26,4days,D,Y
Yves Saint Laurent,Y clutch black,a177508,2020-01-27,2021-02-26,4days,BA,Y
Jill Stuart,button basic pattern coat grey,a177508,2020-01-27,2021-02-26,4days,O,Y
Mojosphine,none collar one button coat,a159888,2019-11-30,2021-02-26,7days,O,Y
Gucci,brooch check pattern H-Line dress ivory,a159888,2019-11-30,2021-02-26,7days,D,Y
Fendi,pattern duffle coat brown,a1147591,2021-02-25,2021-02-26,7days,O,Y
Gucci,monogram strap cross bag brown,a1147383,2021-02-24,2021-02-26,7days,BA,Y
Mojosphine,button basic pattern H-Line dress navy,a1146892,2021-02-19,2021-02-26,4days,D,Y
Prada,saffiano mini bag blue,a1147227,2021-02-22,2021-02-25,7days,BA,Y
Balenciaga,motor city bag charcoal gray,a111344,2018-11-12,2021-02-25,4days,BA,Y
Balmain,double button long coat white,a1147562,2021-02-25,2021-02-25,7days,O,Y
Vivienne Westwood,check pattern ribbon detail shirts,a1147322,2021-02-23,2021-02-25,7days,O,Y
Armani Collezioni,button geometric pattern singlebreasted-jacket grey,a1147568,2021-02-25,2021-02-25,7days,O,
Polo Ralph Lauren,embroidery basic pattern sweater purple,a1147551,2021-02-25,2021-02-25,4days,T,Y
Prada,saffiano cross chain bag black,a1147510,2021-02-25,2021-02-25,7days,BA,Y
Prada,shirring detail two way bag black,a122219,2019-05-08,2021-02-25,4days,BA,Y
Gucci,marmont GG logo quilted bag black,a1144738,2021-01-28,2021-02-25,7days,BA,Y
Gucci,GG clutch chain bag,a1147139,2021-02-22,2021-02-25,4days,BA,Y
Play Nomore,micro candy bag white,a1147532,2021-02-25,2021-02-25,4days,BA,Y
Saint Laurent,mini sunset chain bag black,a1147543,2021-02-25,2021-02-25,4days,BA,
Maje,belt basic pattern trench-coat khaki,a1145292,2021-02-03,2021-02-25,4days,O,Y
Comme des Garcons,heart logo point stripe shirt,a1147257,2021-02-23,2021-02-25,4days,T,Y
Saint Laurent,chevron quilted cross bag black,a1147518,2021-02-25,2021-02-25,4days,BA,Y
Saint Laurent,chevron clutch black,a1147522,2021-02-25,2021-02-25,4days,BA,Y
Gucci,dionysus shoulder bag beige,a1147450,2021-02-24,2021-02-25,4days,BA,Y
Gucci,microssima emily shoulder bag black,a1147335,2021-02-23,2021-02-25,7days,BA,Y
Heohwan Simulation,strap basic pattern coat black,a1147335,2021-02-23,2021-02-25,7days,O,Y
Chanel,boy caviar quilted cluth black,a1147512,2021-02-25,2021-02-25,7days,BA,Y
Saint Laurent,cassandre monogram clutch black,a1111449,2020-08-13,2021-02-25,4days,BA,
Yves Saint Laurent,pocket basic pattern skirt blue,a1147172,2021-02-22,2021-02-25,7days,B,
Kenzo,embroidery point top grey,a1123164,2020-10-08,2021-02-25,4days,T,Y
Valentino,studded two way bag black,a1147471,2021-02-24,2021-02-25,7days,BA,Y
Chloe,daria tote bag brown,a1147483,2021-02-25,2021-02-25,7days,BA,Y
Gucci,GG marmont belt bag black,a1147477,2021-02-25,2021-02-25,4days,BA,Y
Rimowa,topaz 53,a1147373,2021-02-24,2021-02-25,7days,BA,Y
Calvin Klein,button basic pattern denim-jacket blue,a1147475,2021-02-24,2021-02-25,4days,O,Y
Diane von Furstenberg,wrap sleeveless dress,a1146459,2021-02-15,2021-02-25,4days,D,Y
Yves Saint Laurent,kate small monogram bag black,a1147203,2021-02-22,2021-02-24,4days,BA,Y
Opening Ceremony,lettering pattern t-shirts black,a1143065,2021-01-14,2021-02-24,7days,T,Y
Saint Laurent,chevron clutch black,a1106884,2020-07-01,2021-02-24,4days,BA,Y
cecilie bahnsen,gather basic pattern A-Line dress white,a1146975,2021-02-20,2021-02-24,4days,D,Y
Saint Laurent,monogram cross body bag black,a1147306,2021-02-23,2021-02-24,4days,BA,Y
,stripe boat neck t-shirt & buckle suspender dress,a1147458,2021-02-24,2021-02-24,7days,TP,Y
Mine,gather basic pattern A-Line dress pink,a1147455,2021-02-24,2021-02-24,4days,D,Y
Prada,saffiano leather mini crossbody bag,a1147237,2021-02-23,2021-02-24,4days,BA,Y
Olive des Olive,button check pattern A-Line dress brown,a1147211,2021-02-22,2021-02-24,4days,D,Y
Yves Saint Laurent,chevron pattern chain bag beige,a1110928,2020-08-10,2021-02-24,4days,BA,Y
Chanel,quilted chain shoulder bag black,a195790,2020-04-13,2021-02-24,4days,BA,Y
Chanel,button basic pattern singlebreasted-jacket grey,a1147406,2021-02-24,2021-02-24,7days,O,
Gucci,small logo pointed cross bag black,a1147417,2021-02-24,2021-02-24,4days,BA,
Miu Miu,lace detail flared dress multi,a1146927,2021-02-19,2021-02-24,4days,D,
Gucci,padlock GG canvas chain bag 2,a1147112,2021-02-21,2021-02-24,7days,BA,Y
Jil Sander,strap basic pattern coat navy,a1122824,2020-10-06,2021-02-24,7days,O,Y
Mine,simple design long coat black,a1147394,2021-02-24,2021-02-24,4days,O,Y
The Centaur,wappen pointed v-neck cardigan,a117741,2019-03-09,2021-02-24,4days,O,Y
Leah,check pattern wrap coat blue,a117741,2019-03-09,2021-02-24,4days,O,Y
Rosa.K,cabas monogram two way bag beige,a117741,2019-03-09,2021-02-24,4days,BA,Y
Saint Laurent,chevron quilting cross bag cream,a1147388,2021-02-24,2021-02-24,7days,BA,Y
Burberry,button Quilting pattern padding-outer beige,a1147391,2021-02-24,2021-02-24,7days,O,Y
Thom Browne,basic pattern sweat-shirts grey,a1108814,2020-07-21,2021-02-24,4days,T,Y
Burberry London,basic pattern polo-shirts cream,a1146654,2021-02-17,2021-02-24,4days,T,Y
Burberry London,basic pattern sweater blue,a1146654,2021-02-17,2021-02-24,4days,T,Y
Max Mara,pleats detail long shirts dress,a1146654,2021-02-17,2021-02-24,4days,D,Y
Louis Vuitton,monogram clutch brown,a1147385,2021-02-24,2021-02-24,7days,BA,Y
Gucci,sylvie leather mini chain bag black,a1144928,2021-01-30,2021-02-24,7days,BA,Y
Chanel,classic clutch black,a157063,2019-11-19,2021-02-24,4days,BA,Y
Gucci,padlock GG canvas shoulder bag,a1146405,2021-02-14,2021-02-24,7days,BA,Y
Adidas,pocket flower pattern fitness-jacket black,a1129070,2020-11-06,2021-02-24,4days,O,Y
Theory,four button jacket,a1147333,2021-02-23,2021-02-24,7days,O,Y
Gucci,dionysos velvet chain shoulder bag navy,a1147337,2021-02-24,2021-02-24,4days,BA,Y
Chanel,classic clutch black,a1147280,2021-02-23,2021-02-23,4days,BA,Y
Prada,logo point suede bag burgundy,a1122302,2020-10-03,2021-02-23,4days,BA,Y
Theory,strap basic pattern singlebreasted-jacket black,a1146637,2021-02-16,2021-02-23,4days,O,
Bulgari,serpenti bag green,a1109893,2020-07-30,2021-02-23,7days,BA,Y
Escada,button basic pattern sweater beige,a1145482,2021-02-04,2021-02-23,7days,T,Y
Saint Laurent,monogram chain wallet bag black,a1137370,2020-12-16,2021-02-23,4days,BA,Y
It michaa,button check pattern H-Line dress black,a1137370,2020-12-16,2021-02-23,4days,D,Y
Fendi,ribbon basic pattern sweater khaki,a1146204,2021-02-12,2021-02-23,7days,T,Y
Chanel,classic logo chain shoulder bag white,a1144400,2021-01-25,2021-02-23,4days,BA,Y
Michael Michael Kors,belt basic pattern padding-outer black,a15568,2018-08-02,2021-02-23,4days,O,Y
Gucci,lettering pattern sweater black,a1138399,2020-12-19,2021-02-23,7days,T,Y
Sandro,button basic pattern H-Line dress,a17062,2018-08-19,2021-02-23,4days,D,Y
Time,pocket basic pattern coat black,a17062,2018-08-19,2021-02-23,4days,O,Y
Fendi,ff logo point cross bag black,a1147223,2021-02-22,2021-02-23,4days,BA,Y
Chanel,vintage mini cross body,a1147205,2021-02-22,2021-02-23,7days,BA,Y
Gucci,dionysus cross bag black,a1114429,2020-08-19,2021-02-23,7days,BA,Y
Saint Laurent,chevron quilted cross bag beige,a1124332,2020-10-14,2021-02-23,4days,BA,Y
Saint Laurent,chevron quilted cross bag black,a1147032,2021-02-21,2021-02-23,4days,BA,Y
Becla,pocket detail ribbon belted blouse,a1147201,2021-02-22,2021-02-23,7days,T,
Gucci,logo pointed cross bag,a1101645,2020-05-26,2021-02-23,4days,BA,
Yves Saint Laurent,monogram envelope chain cross bag,a1147247,2021-02-23,2021-02-23,4days,BA,Y
Pure DKNY,string shirt dress white,a1147233,2021-02-23,2021-02-23,7days,D,Y
Gucci,logo pointed cross bag black,a1146955,2021-02-20,2021-02-23,7days,BA,Y
Saint Laurent,muse bag blue,a1147199,2021-02-22,2021-02-22,7days,BA,Y
Ambush,high neck hoodie jumper black,a153797,2019-11-04,2021-02-22,4days,O,Y
Miu Miu,matelasse cross body bag black,a153797,2019-11-04,2021-02-22,4days,BA,Y
Gucci,dionysus cross bag green,a1147181,2021-02-22,2021-02-22,4days,BA,Y
Burberry London,button check pattern pants,a1143498,2021-01-17,2021-02-22,4days,B,Y
Jill Stuart,button basic pattern doublebreasted-jacket black,a1110856,2020-08-09,2021-02-22,4days,O,Y
Dolce & Gabbana,puff sleeve flower pattern dress,a1144449,2021-01-25,2021-02-22,4days,D,Y
Hacie,button stripe pattern shirts mint,a153183,2019-11-01,2021-02-22,4days,T,Y
A.P.C.,half round cross bag black,a1147170,2021-02-22,2021-02-22,4days,BA,Y
Sandro,punching lace dress white,a1145944,2021-02-09,2021-02-22,4days,D,Y
Mojosphine,pintuck dress yellow,a1145316,2021-02-03,2021-02-22,4days,D,Y
,stripe pattern long vest gray & wrap detail stripe pattern wide pants,a1145316,2021-02-03,2021-02-22,4days,TP,Y
Maje,lace flower pattern A-Line dress pink,a1145316,2021-02-03,2021-02-22,4days,D,Y
Jigott,button basic pattern cashmere singlebreasted-coat black,a199421,2020-05-04,2021-02-22,4days,O,Y
Maison Kitsune,button basic pattern wool cardigan grey,a1146851,2021-02-18,2021-02-22,4days,T,Y
Gucci,marmont gg logo quilted bag Black,a1147123,2021-02-21,2021-02-22,4days,BA,
Burberry,button basic pattern jacket black,a1146928,2021-02-19,2021-02-22,7days,O,
Thom Browne,button stripe pattern cashmere sweater grey,a1147142,2021-02-22,2021-02-22,7days,T,Y
Escada,belt point trench coat green,a1146366,2021-02-14,2021-02-22,4days,O,Y
Sandro,lace yoke detail dress black,a1146366,2021-02-14,2021-02-22,4days,D,Y
Fendi,fur detail peekaboo mini red,a1146366,2021-02-14,2021-02-22,4days,BA,Y
Kenzo,balloon sleeve flower pattern knit dress,a1146366,2021-02-14,2021-02-22,4days,D,Y
Gucci,mamont chain mini cross bag black,a1134951,2020-12-03,2021-02-22,4days,BA,Y
Kenzo,big eye leather cross bag black,a1147125,2021-02-22,2021-02-22,4days,BA,Y
Gucci,mammont cross bag multi,a1147098,2021-02-21,2021-02-21,7days,BA,Y
Gucci,mammont chain wallet bag black,a1147046,2021-02-21,2021-02-21,7days,BA,Y
Jill Stuart,lace flower pattern shirt-dress nude,a1147023,2021-02-20,2021-02-21,4days,D,Y
Burberry,belt basic pattern trench-coat beige,a1146827,2021-02-18,2021-02-21,7days,O,Y
Gucci,marmont GG logo quilted bag black,a1146707,2021-02-17,2021-02-20,7days,BA,Y
Louis Vuitton,monogram eva clutch,a1146942,2021-02-19,2021-02-19,4days,BA,Y
Jigott,lace dress skyblue,a1146852,2021-02-18,2021-02-19,7days,D,
,no collar simple jacket& crease slacks ivory,a1146852,2021-02-18,2021-02-19,7days,TP,
,button check pattern jacket yellow & pocket check pattern slacks yellow,a1146852,2021-02-18,2021-02-19,7days,TP,
Cos,ribbon basic pattern A-Line wrap-dress blue,a1146852,2021-02-18,2021-02-19,7days,D,
Max Mara,strap basic pattern wrap-coat black,a158147,2019-11-24,2021-02-19,7days,O,Y
Saint Laurent,lou cross bag black,a1146923,2021-02-19,2021-02-19,7days,BA,Y
Yves Saint Laurent,stripe wool jacket charcoal,a1125983,2020-10-22,2021-02-19,4days,O,Y
Cos,pleats pocket wool skirt brown,a1125983,2020-10-22,2021-02-19,4days,B,Y
Gucci,padlock GG canvas shoulder bag,a1146641,2021-02-16,2021-02-19,7days,BA,Y
Nobis,hoodie basic pattern padding-outer charcoal,a1146834,2021-02-18,2021-02-19,4days,O,Y
Fendi,dotcom bag black1,a1145444,2021-02-04,2021-02-19,7days,BA,Y
Burberry,belt basic pattern padding-outer black,a1141418,2021-01-06,2021-02-19,7days,O,Y
Delvaux,brillant GM satchel bag,a154665,2019-11-08,2021-02-19,4days,BA,Y
Sandro,lace detail pointed dress multi,a1146011,2021-02-10,2021-02-19,4days,D,
Yves Saint Laurent,chevron quilting cross bag black,a1146710,2021-02-17,2021-02-19,7days,BA,Y
Michaa,ruffle basic pattern A-Line dress black,a1146755,2021-02-17,2021-02-19,4days,D,
Miu Miu,matelasse chain mini bag pink,a1146872,2021-02-18,2021-02-19,7days,BA,Y
Chanel,grand-shopping caviar cream,a1107269,2020-07-05,2021-02-19,7days,BA,Y
Gucci,padlock GG canvas shoulder bag,a1146881,2021-02-18,2021-02-18,4days,BA,
Kenzo,animal print pattern top white,a1146778,2021-02-18,2021-02-18,7days,T,Y
,waffle bulky knit & wool slim skirt,a1146854,2021-02-18,2021-02-18,7days,TP,Y
Chanel,2.55 classic patent bag navy,a1137358,2020-12-16,2021-02-18,7days,BA,Y
Saint Laurent,chevron quilted cross bag black,a1146859,2021-02-18,2021-02-18,4days,BA,Y
Saint Laurent,mini sunset chain bag black,a1146856,2021-02-18,2021-02-18,7days,BA,Y
Christian Dior,bobby bag black,a1145434,2021-02-04,2021-02-18,7days,BA,Y
Gucci,unique vintage web mini cross bag,a1146554,2021-02-16,2021-02-18,7days,BA,Y
Moncler,shirring blouson jumper khaki,a1146554,2021-02-16,2021-02-18,7days,O,Y
Burberry,classic logo cross bag brown,a1112718,2020-08-16,2021-02-18,4days,BA,Y
Saint Laurent,matlase monogram bag gray,a1146787,2021-02-18,2021-02-18,7days,BA,Y
Prada,color strap shoulder bag navy,a1146831,2021-02-18,2021-02-18,4days,BA,Y
Chanel,boy chanel clutch black,a1146817,2021-02-18,2021-02-18,4days,BA,Y
Cesare Paciotti,new cubo satchel small black 1,a1146783,2021-02-18,2021-02-18,4days,BA,Y
Hacie,strap basic pattern coat black,a1146783,2021-02-18,2021-02-18,4days,O,Y
Chanel,patent small beige,a145963,2019-10-08,2021-02-18,4days,BA,Y
Yves Saint Laurent,coll?ge medium cross bag,a1122447,2020-10-04,2021-02-18,7days,BA,Y
Gucci,dionysus cross bag beige,a1146823,2021-02-18,2021-02-18,4days,BA,
Stella Mccartney,falabella box mini bag navy,a1146417,2021-02-15,2021-02-18,4days,BA,Y
Jill Stuart,lovely lace dress salmon,a1146417,2021-02-15,2021-02-18,4days,D,Y
Gucci,basic pattern A-Line dress cream,a1126491,2020-10-24,2021-02-18,4days,D,Y
Gucci,leather pointed half sleeve dress,a1145696,2021-02-06,2021-02-18,7days,D,Y
Gucci,leather point cross bag,a1146490,,2021-02-18,4days,BA,Y
Ava Molli,robe check coat brown,a1146744,2021-02-17,2021-02-18,7days,O,Y
Jill Stuart,stripe quilted padding jumper black,a1145314,2021-02-03,2021-02-18,4days,O,Y
Louis Vuitton,monogram two way bag brown,a1145314,2021-02-03,2021-02-18,4days,BA,Y
Saint Laurent,quilted calfskin shoulder bag,a1146790,2021-02-18,2021-02-18,7days,BA,Y
MYEYEKO,pocket herringbone pattern wool doublebreasted-coat brown,a1146757,2021-02-17,2021-02-18,7days,O,Y
Chanel,classic flap clutch,a146699,2019-10-12,2021-02-18,4days,BA,Y
Burberry,vintage check and leather cross bag black,a1146752,2021-02-17,2021-02-17,4days,BA,Y
Louis Vuitton,verni mini clutch chain bag black,a1145662,2021-02-06,2021-02-17,4days,BA,Y
Mine,basic pattern A-Line wool dress grey,a1146380,2021-02-14,2021-02-17,7days,D,Y
Chanel,quilted cross body bag black,a1145680,2021-02-06,2021-02-17,7days,BA,Y
Thom Browne,button stripe pattern singlebreasted-jacket navy,a1146738,2021-02-17,2021-02-17,7days,O,Y
Valentino,rockstud tote bag black,a1146728,2021-02-17,2021-02-17,4days,BA,Y
Jigott,slit neck slim line dress black,a1146692,2021-02-17,2021-02-17,4days,D,Y
Gucci,vintage web round cross bag black,a1146694,2021-02-17,2021-02-17,4days,BA,Y
Dewl,basic pattern knit-dress brown,a1144839,2021-01-29,2021-02-17,7days,D,
Louis Vuitton,monogram shoulder bag black,a1114134,2020-08-19,2021-02-17,4days,BA,Y
Minimarket black,two tone color sleeveless mermaid dress,a1127845,2020-10-31,2021-02-17,4days,D,Y
Helmut Lang,button basic pattern blazer black,a1127845,2020-10-31,2021-02-17,4days,O,Y
Celine,leather chain bag brown,a1135622,2020-12-06,2021-02-17,4days,BA,Y
Gucci,mamont chain bag black,a1146311,2021-02-14,2021-02-17,4days,BA,Y
Celine,cabas tote bag black,a1146530,2021-02-15,2021-02-17,4days,BA,Y
Luv is True,corduroy quilted padding jumper yellow,a1146675,2021-02-17,2021-02-17,7days,O,Y
Thom Browne,fringe detail check pattern coat,a1104494,2020-06-15,2021-02-17,4days,O,Y
It michaa,flower pattern sheer long dress,a1146672,2021-02-17,2021-02-17,4days,D,Y
Saint Laurent,chevron quilted cross bag black,a1146672,2021-02-17,2021-02-17,4days,BA,Y
Celine,classic box black,a1146661,2021-02-17,2021-02-17,7days,BA,
Louis Vuitton,damier ebene cross bag brown,a1146602,2021-02-16,2021-02-17,4days,BA,Y
Gucci,mamont chain bag red,a1146640,2021-02-16,2021-02-17,4days,BA,Y
Chanel,matelasse mademoiselle clutch bag black,a1146652,2021-02-17,2021-02-17,7days,BA,Y
Valentino,garavani leather clutch brown,a1143078,2021-01-14,2021-02-17,4days,BA,Y
Collabotory,shirring detail yoke velvet dress,a19897,2018-10-13,2021-02-16,4days,D,
Marni,trunk mini saffiano bag black,a1136426,2020-12-11,2021-02-16,4days,BA,Y
Chanel,small logo quilted cross body bag black,a1146399,2021-02-14,2021-02-16,7days,BA,Y
Louis Vuitton,logo chain tote bag black,a1146489,2021-02-15,2021-02-16,4days,BA,
Gucci,button flower pattern H-Line dress lavender,a1146304,2021-02-13,2021-02-16,4days,D,Y
Chanel,basic logo tote bag black 2,a1146600,2021-02-16,2021-02-16,7days,BA,
Gucci,mamont chain bag black,a1132235,2020-11-22,2021-02-16,4days,BA,Y
Louis Vuitton,verni clutch chain bag pink,a1146297,2021-02-13,2021-02-16,4days,BA,Y
